title,description,audio_url,release_date,is_recurring
Diversification,Diversification,https://www.dropbox.com/scl/fi/t2rlzi0nj2i237ogl4v65/August_1_-_Diversification.mp3?rlkey=vpqenb05mh2nqq1h9lkletccx&st=o9bakaqd&dl=0,8/1/2025 3:30,TRUE
Being the Wrong Size,Being the Wrong Size,https://www.dropbox.com/scl/fi/b15xoy8d9om61vto5c3it/August_2_-_Being_the_Wrong_Size.mp3?rlkey=16ipwmzzo9bcya7o5qoyk7bo2&st=q79pngqz&dl=0,8/2/2025 3:30,TRUE
Growth,Growth,https://www.dropbox.com/scl/fi/m1zviv9rskfplp5sp085l/August_3_-_Growth.mp3?rlkey=vbp3ixh8hk14i8ap7wodozhvd&st=wiz12nwt&dl=0,8/3/2025 3:30,TRUE
Managing the New Venture,Managing the New Venture,https://www.dropbox.com/scl/fi/gdp9k1kr6z5lthk7g1aaw/August_4_-_Managing_the_New_Venture.mp3?rlkey=oebe324ywmopyyons0dheexx9&st=zjci91fn&dl=0,8/4/2025 3:30,TRUE
Calculated Obsolescence,Calculated Obsolescence,https://www.dropbox.com/scl/fi/0hxpq9ebekgbjaoodyw67/August_5_-_Calculated_Obsolescence.mp3?rlkey=3dpq2lxdte2jpr5id0r8op5mm&st=fxjz8w4e&dl=0,8/5/2025 3:30,TRUE
Tunnel-Vision Innovation,Tunnel-Vision Innovation,https://www.dropbox.com/scl/fi/03tbtx95vjw3789tv6v6r/August_6_-_Tunnel-Vision_Innovation.mp3?rlkey=axvzfjgjsecksxi4elugo4r9x&st=by8o7pfg&dl=0,8/6/2025 3:30,TRUE
Social Innovation: The Research Lab,Social Innovation: The Research Lab,https://www.dropbox.com/scl/fi/l2xgzuli8zoebbm87snka/August_7_-_Social_Innovation__The_Research_Lab.mp3?rlkey=g86vussla9xn9uvh2yk4qst1c&st=wwchiqpi&dl=0,8/7/2025 3:30,TRUE
Social Innovation: The Lab Without Walls,Social Innovation: The Lab Without Walls,https://www.dropbox.com/scl/fi/f2u20ld5pm089wn09n0it/August_8_-_Social_Innovation__The_Lab_Without_Walls.mp3?rlkey=6s083f786fw0zv4pp0mp7zxm7&st=nxbnmexf&dl=0,8/8/2025 3:30,TRUE
Research Laboratory: Obsolete?,Research Laboratory: Obsolete?,https://www.dropbox.com/scl/fi/jzoiwfie9qxys8v6p20jm/August_9_-_Research_Laboratory__Obsolete_.mp3?rlkey=8tr3v7v5x9y3ajeh7r0eu6ts0&st=lh8ktwfl&dl=0,8/9/2025 3:30,TRUE
The Infant New Venture,The Infant New Venture,https://www.dropbox.com/scl/fi/m6qunsj0m5iops7is0otv/August_10_-_The_Infant_New_Venture.mp3?rlkey=ky29iesrcuubpw8pbhdzsvyoy&st=nhm2lzx7&dl=0,8/10/2025 3:30,TRUE
