title,description,audio_url,release_date,is_recurring
Gods Awesomeness,Gods Awesomeness,https://www.dropbox.com/scl/fi/p991zxwl3vouwhgs66sn7/Tozer_-_June_1_-_God-s_Awesomeness.mp3?rlkey=i82pc5ecipj2em1hwtm7nrnvq&st=q5jhk3wp&dl=0,6/1/25 3:00,TRUE
The Normal Employment of Moral Beings,The Normal Employment of Moral Beings,https://www.dropbox.com/scl/fi/pcp1ud9gutpuf212qnfrq/Tozer_-_June_2_-_The_Normal_Employment_of_Moral_Beings.mp3?rlkey=6465cg9w7wssqjwmh4e6x3mv1&st=y055coqu&dl=0,6/2/25 3:00,TRUE
God Listens,God Listens,https://www.dropbox.com/scl/fi/8l21cqqree3cueoo13df8/Tozer_-_June_3_-_God_Listens.mp3?rlkey=0r3xffdtq40vyrm6kswdt9k47&st=ih8y1i5w&dl=0,6/3/25 3:00,TRUE
Beyond Thanksgiving,Beyond Thanksgiving,https://www.dropbox.com/scl/fi/ghwnn3qi60aglhnp2lf6g/Tozer_-_June_4_-_Beyond_Thanksgiving.mp3?rlkey=98mh72xsi8o6q17wplyoyek4v&st=34pgeh1i&dl=0,6/4/25 3:00,TRUE
Astonished Reverence,Astonished Reverence,https://www.dropbox.com/scl/fi/z73oryvwf70gibsfp48ud/Tozer_-_June_5_-_Astonished_Reverence.mp3?rlkey=26clpliruep9nzlv71lq7g55m&st=stabd9d5&dl=0,6/5/25 3:00,TRUE
Reverential Fear of God,Reverential Fear of God,https://www.dropbox.com/scl/fi/t23ps2xn1stm5upqp04sk/Tozer_-_June_6_-_Reverential_Fear_of_God.mp3?rlkey=dhe5wqja33wevgbs8aldhs2l0&st=ng9arka6&dl=0,6/6/25 3:00,TRUE
Standing Silent Before God,Standing Silent Before God,https://www.dropbox.com/scl/fi/9kd15ukgdncavdy8k5thz/Tozer_-_June_7_-_Standing_Silent_Before_God.mp3?rlkey=9y073rdl8t3y6insiqg8ss313&st=riqvjlf6&dl=0,6/7/25 3:00,TRUE
Why They Act Like Idiots,Why They Act Like Idiots,https://www.dropbox.com/scl/fi/ygqq0gm1zvav2lv3bqeck/Tozer_-_June_8_-_Why_They_Act_Like_Idiots.mp3?rlkey=l2et7qe6zx8jo10e9q7wqme22&st=g915uhl2&dl=0,6/8/25 3:00,TRUE
Worshipers from Rebels,Worshipers from Rebels,https://www.dropbox.com/scl/fi/5iyq1xdmoehba5vujoeqc/Tozer_-_June_9_-_Worshipers_from_Rebels.mp3?rlkey=i4lky8tbzs2cogq1grqku81ol&st=k524g7jl&dl=0,6/9/25 3:00,TRUE
Our Reason for Existence,Our Reason for Existence,https://www.dropbox.com/scl/fi/qkrpflkbfts05r8zcnse2/Tozer_-_June_10_-_Our_Reason_for_Existence.mp3?rlkey=4p7eo7rnidzwpd9rbpx2klqav&st=h8uxhohf&dl=0,6/10/25 3:00,TRUE
Created to Worship,Created to Worship,https://www.dropbox.com/scl/fi/j2dxbetknnvjor0dowcm7/Tozer_-_June_11_-_Created_to_Worship.mp3?rlkey=3psxtzs0zh50jihzppap1vj1c&st=kvbrqcsi&dl=0,6/11/25 3:00,TRUE
God Gave Man a Harp,God Gave Man a Harp,https://www.dropbox.com/scl/fi/zbxqxvs0prj7e64jc5t8h/Tozer_-_June_12_-_God_Gave_Man_a_Harp.mp3?rlkey=9w2f4nlsgw3zpxaf0xhrjvr8k&st=5on1qh5a&dl=0,6/12/25 3:00,TRUE
Honor Your Purpose,Honor Your Purpose,https://www.dropbox.com/scl/fi/yiwqxeuh3ydmrlolnpoid/Tozer_-_June_13_-_Honor_Your_Purpose.mp3?rlkey=146f24v5tx7pre5lau81xkde5&st=76dhtu1e&dl=0,6/13/25 3:00,TRUE
