title,description,audio_url,release_date,is_recurring
August 1 Spiritually Worthy,August 1 Spiritually Worthy,https://www.dropbox.com/scl/fi/zfevipt3qq9h7q42idqzu/Tozer-August_1-Spiritually_Worthy.mp3?rlkey=jgeyfz9vy5fl6bla3m7ug6e91&st=0yaa199k&dl=0,8/1/2025 3:30,TRUE
August 2 Be Prepared,August 2 Be Prepared,https://www.dropbox.com/scl/fi/bvlm6ykzg69k0o05vxazp/Tozer-August_2-Be_Prepared.mp3?rlkey=kcinzlml6k9640vee11guop9z&st=q8pj632z&dl=0,8/2/2025 3:30,TRUE
August 3 Early Church Methods,August 3 Early Church Methods,https://www.dropbox.com/scl/fi/9bd500q4o3kaekrlvhh9s/Tozer-August_3-Early_Church_Methods.mp3?rlkey=v019w7h6s1clnjebohazkeuw9&st=hwh47cw7&dl=0,8/3/2025 3:30,TRUE
August 4 She Had to Tell Someone,August 4 She Had to Tell Someone,https://www.dropbox.com/scl/fi/4e0od7d58jgij3eo4mcfi/Tozer-August_4-She_Had_to_Tell_Someone.mp3?rlkey=tjb4amlxy2w0mc42xc8l36bhw&st=rd4t5xmx&dl=0,8/4/2025 3:30,TRUE
August 5 Sovereign Obligation,August 5 Sovereign Obligation,https://www.dropbox.com/scl/fi/ua4bpyfexiwfijghimzi3/Tozer-August_5-Sovereign_Obligation.mp3?rlkey=5rw7pbp41zymf4h8bygo7al1z&st=xljabkcr&dl=0,8/5/2025 3:30,TRUE
August 6 God Is Depending on Us,August 6 God Is Depending on Us,https://www.dropbox.com/scl/fi/4agr92c8ixvzn6qwainfy/Tozer-August_6-God_Is_Depending_on_Us.mp3?rlkey=mc3t6z423cf5lg6yb9xcvk9a2&st=bni1hecr&dl=0,8/6/2025 3:30,TRUE
August 7 Not Willing to Take Contempt,August 7 Not Willing to Take Contempt,https://www.dropbox.com/scl/fi/zh84hw3jn7o5dyl76rykt/Tozer-August_7-Not_Willing_to_Take_Contempt.mp3?rlkey=b7zgkirshhtxugcn1iqs91o5w&st=d5tw71mv&dl=0,8/7/2025 3:30,TRUE
August 8 Calling Us Back,August 8 Calling Us Back,https://www.dropbox.com/scl/fi/9elbvs4hmn36bx0xl7bab/Tozer-August_8-Calling_Us_Back.mp3?rlkey=921e3xq5pda9bwza20sr7glz2&st=kgjhk22x&dl=0,8/8/2025 3:30,TRUE
August 9 The Desperate Personal Search,August 9 The Desperate Personal Search,https://www.dropbox.com/scl/fi/jlx88e3uog7hfd31xiwkn/Tozer-August_9-The_Desperate_Personal_Search.mp3?rlkey=d9181bwthmklkj8kfcz9aektu&st=m1k8ps68&dl=0,8/9/2025 3:30,TRUE
August 10 At Ease While the World Burns,August 10 At Ease While the World Burns,https://www.dropbox.com/scl/fi/db8cet1y4c7mp26t50og3/Tozer-August_10-At_Ease_While_the_World_Burns.mp3?rlkey=b9mws53kmfzdrmcliehpzznhg&st=rz9jtvs3&dl=0,8/10/2025 3:30,TRUE
August 11 Times of Extraordinary Crisis,August 11 Times of Extraordinary Crisis,https://www.dropbox.com/scl/fi/6ni8lj5rcyci6pzxkeh54/Tozer-August_11-Times_of_Extraordinary_Crisis.mp3?rlkey=lqw1vspqku63uj2h18fnj42xy&st=n8nnzt74&dl=0,8/11/2025 3:30,TRUE
August 12 A Cheap Salvation,August 12 A Cheap Salvation,https://www.dropbox.com/scl/fi/lkoc4ke83qgi9msbec38q/Tozer-August_12-A_Cheap_Salvation.mp3?rlkey=8mil4dornwq12u7hxm7cc3ow8&st=h0alxnk2&dl=0,8/12/2025 3:30,TRUE
August 13 Man-Centered Christianity,August 13 Man-Centered Christianity,https://www.dropbox.com/scl/fi/j3mumwnipnqtvjoatsg0q/Tozer-August_13-Man-Centered_Christianity.mp3?rlkey=lso0bbld1by1j4n8rwbrt0o6r&st=adj9c552&dl=0,8/13/2025 3:30,TRUE
