title,description,audio_url,release_date,is_recurring
Rahab,Rahab,https://dl.dropboxusercontent.com/scl/fi/hh8b6k5z56v1k06ah5ca5/Rahab_From_Outcast_in_Jericho_to_Ancestor_of_Christ.mp3?rlkey=efbgtlgb1vrg4owh1fpfdej43&st=4rifuens,2025-03-19 03:20,TRUE
Paul,Paul,https://dl.dropboxusercontent.com/scl/fi/ccegx3bmmjzjku0ksy949/The_Life_of_the_Apostle_Paul_From_Persecutor_to_Preacher.mp3?rlkey=pn2uqx8myjqskukfswakq3uuv&st=uo239hcm,2024-10-15 05:05,TRUE
Joshua,Joshua,https://dl.dropboxusercontent.com/scl/fi/6gmvlsekd4xxvb4m34hi6/Joshua_A_Story_of_Unwavering_Faith_and_Gods_Faithfulness.mp3?rlkey=97dh3yal8u6wy2dahmcg9g04y&st=drbjgp93,2025-03-12 14:21,TRUE
Gideon,Gideon: From Weakness to Strength in God's Service,https://dl.dropboxusercontent.com/scl/fi/3u92g0hazmsk34c91owpl/Gideon__From_Weakness_to_Strength_in_God-s_Service.mp3?rlkey=s0wow1i00z61l6jiqfue0cjl2&st=l5um495m,2025-03-26 16:56,TRUE
Samson: A Strong Man in God's Hands,Samson: A Strong Man in God's Hands,https://dl.dropboxusercontent.com/scl/fi/jx8i85pieln940usxy4lp/Samson__A_Strong_Man_in_God-s_Hands.mp3?rlkey=2nreb6tuwkv0m7rxayvl8ch0i&st=iuo852i2,2025-04-01 20:26,TRUE
Samuel: A Life Faithful to God in Faithless Times,Samuel: A Life Faithful to God in Faithless Times,https://dl.dropboxusercontent.com/scl/fi/x6ltfmaq19e6nih4umhip/Samuel__A_Life_Faithful_to_God_in_Faithless_Times.mp3?rlkey=jqlp6lt38qm3y1lqsbotygq6v&st=p2wonjfv,2025-04-08 21:12,TRUE
Saul: The Rise and Fall of Israel’s First King,Saul: The Rise and Fall of Israel’s First King,https://dl.dropboxusercontent.com/scl/fi/nhyk33ue1qd7fp3fy3qie/Saul__The_Rise_and_Fall_of_Israel-s_First_King.mp3?rlkey=yew97vfi7bgez5xkb82ii25qx&st=yzzh1bpi,2025-04-15 16:20,TRUE
"The Life of King David: Shepherd, Psalmist, and Sovereign by God’s Grace God Chooses a Shepherd ","The Life of King David: Shepherd, Psalmist, and Sovereign by God’s Grace God Chooses a Shepherd ",https://dl.dropboxusercontent.com/scl/fi/5bp2yc0l7vkw5fnz4tif4/The_Life_of_King_David__Shepherd-_Psalmist-_and_Sovereign_by_God-s_Grace.mp3?rlkey=sw10rs24sdplfb1hkcwjzk6iv&st=f17v6am8,2025-04-22 17:56,TRUE
Ruth: A Story of Loyal Love and Redemption,Ruth: A Story of Loyal Love and Redemption,https://dl.dropboxusercontent.com/scl/fi/f08mf67kdzk6nh71pz9ke/Ruth__A_Story_of_Loyal_Love_and_Redemption.mp3?rlkey=vx6z60qfovcjdwnchan851s6t&st=olldmsgb,2025-04-29 21:57,TRUE
Solomon: The Wise King of Israel,Solomon: The Wise King of Israel,https://dl.dropboxusercontent.com/scl/fi/w01f8sli0kd5hy4ffnj03/Solomon__The_Wise_King_of_Israel_-_A_Theologically_Grounded_Biography.mp3?rlkey=u88s9vq70vp2awr6v0fmbw3ox&st=ehswr7ah,2025-05-07 03:15,TRUE
